,Timestamp,Estado,Consumo Residencial,Consumo Industrial,Populacao
0,fev. 2004,Rondônia,41.823,15.490,1562085
1,mar. 2004,Rondônia,40.309,18.641,1562085
2,abr. 2004,Rondônia,41.622,16.961,1562085
3,mai. 2004,Rondônia,42.820,17.462,1562085
4,jun. 2004,Rondônia,39.616,18.505,1562085
5,jul. 2004,Rondônia,40.586,18.387,1562085
6,ago. 2004,Rondônia,39.354,19.468,1562085
7,set. 2004,Rondônia,42.564,20.556,1562085
8,out. 2004,Rondônia,45.081,19.642,1562085
9,nov. 2004,Rondônia,44.687,19.651,1562085
10,dez. 2004,Rondônia,42.843,19.153,1562085
11,jan. 2005,Rondônia,42.228,19.337,1534594
12,fev. 2005,Rondônia,42.059,16.713,1534594
13,mar. 2005,Rondônia,44.612,19.513,1534594
14,abr. 2005,Rondônia,42.779,18.390,1534594
15,mai. 2005,Rondônia,42.074,20.018,1534594
16,jun. 2005,Rondônia,43.170,20.124,1534594
17,jul. 2005,Rondônia,44.037,21.187,1534594
18,ago. 2005,Rondônia,41.782,20.213,1534594
19,set. 2005,Rondônia,44.447,20.653,1534594
20,out. 2005,Rondônia,45.669,20.406,1534594
21,nov. 2005,Rondônia,48.912,20.449,1534594
22,dez. 2005,Rondônia,46.609,21.168,1534594
23,jan. 2006,Rondônia,44.843,19.685,1562417
24,fev. 2006,Rondônia,44.799,17.216,1562417
25,mar. 2006,Rondônia,47.243,17.627,1562417
26,abr. 2006,Rondônia,45.120,17.835,1562417
27,mai. 2006,Rondônia,43.171,17.769,1562417
28,jun. 2006,Rondônia,44.069,17.940,1562417
29,jul. 2006,Rondônia,48.872,20.237,1562417
30,ago. 2006,Rondônia,49.050,19.602,1562417
31,set. 2006,Rondônia,51.273,21.271,1562417
32,out. 2006,Rondônia,50.844,21.125,1562417
33,nov. 2006,Rondônia,49.650,19.528,1562417
34,dez. 2006,Rondônia,48.200,21.662,1562417
35,jan. 2007,Rondônia,47.135,19.850,1453756
36,fev. 2007,Rondônia,47.127,19.487,1453756
37,mar. 2007,Rondônia,44.459,20.106,1453756
38,abr. 2007,Rondônia,46.673,20.276,1453756
39,mai. 2007,Rondônia,47.897,20.833,1453756
40,jun. 2007,Rondônia,45.868,21.530,1453756
41,jul. 2007,Rondônia,47.403,23.785,1453756
42,ago. 2007,Rondônia,47.988,22.865,1453756
43,set. 2007,Rondônia,52.780,25.041,1453756
44,out. 2007,Rondônia,50.861,24.569,1453756
45,nov. 2007,Rondônia,51.818,25.433,1453756
46,dez. 2007,Rondônia,49.226,27.282,1453756
