ano,estado,consumo_residencial_absoluto,consumo_industrial_absoluto,populacao_absoluta,pib_absoluto,ideb,consumo_residencial_per_capita,consumo_industrial_per_capita,pib_per_capita,populacao_absoluta_yoy,consumo_residencial_absoluto_yoy,consumo_industrial_absoluto_yoy,populacao_absoluta_yoy_acumulado,consumo_residencial_absoluto_yoy_acumulado,lat,long,regiao,sigla
2004,Acre,184637.0,24097.0,630328.0,3784002575.0,3.2999999999999994,0.2929220977015141,0.03822930283915676,6003.227803619703,,,,0.0,0.0,-9.975377,-67.824897,Norte,AC
2005,Acre,202651.0,25560.0,669736.0,4300581271.0,3.2999999999999994,0.3025834059987816,0.038164291601466845,6421.3082035309435,6.251983094515867,9.756441016697636,6.071295181972869,6.3,9.8,-9.975377,-67.824897,Norte,AC
2006,Acre,220479.0,26255.0,686652.0,4661806953.0,3.5,0.32109278062249874,0.0382362535898825,6789.184263644466,2.525771348710526,8.797390587759256,2.7190923317683913,8.9,19.400000000000002,-9.975377,-67.824897,Norte,AC
2007,Acre,231106.0,30371.0,655385.0,5458172173.0,3.7000000000000006,0.3526263188812683,0.04634070050428374,8328.192090145487,-4.553543862101906,4.8199601776132805,15.67701390211389,4.0,25.2,-9.975377,-67.824897,Norte,AC
2008,Acre,251867.0,32480.0,680073.0,6410254679.0,3.9500000000000006,0.3703528885869605,0.04775957875110466,9425.8332252567,3.7669461461583564,8.983323669658084,6.944124329129764,7.9,36.4,-9.975377,-67.824897,Norte,AC
2009,Acre,272035.0,33012.0,691132.0,7407821405.0,4.2,0.39360787808985837,0.047765115781066424,10718.388679731224,1.626148957538387,8.007400731338365,1.6379310344827536,9.6,47.3,-9.975377,-67.824897,Norte,AC
2010,Acre,309742.0,35797.0,733559.0,8342355523.0,4.35,0.4222455180837533,0.04879907410310554,11372.439739680107,6.13876943912306,13.861084051684536,8.436326184417787,16.400000000000002,67.80000000000001,-9.975377,-67.824897,Norte,AC
2011,Acre,331917.0,37939.0,746386.0,8949433758.0,4.5,0.444698855551953,0.05083026744874636,11990.355872162661,1.74859827225895,7.159184095150151,5.983741654328578,18.4,79.80000000000001,-9.975377,-67.824897,Norte,AC
2012,Acre,362017.0,43825.0,758786.0,10137924705.0,4.75,0.4771002627881906,0.05775673246475291,13360.716598619374,1.661338771091625,9.068532193289291,15.514378344184077,20.4,96.1,-9.975377,-67.824897,Norte,AC
2013,Acre,373115.0,37296.0,776463.0,11473930166.0,5.0,0.4805315900435694,0.04803319668805854,14777.175687701796,2.3296423497534136,3.0656018916238814,-14.897889332572733,23.200000000000003,102.1,-9.975377,-67.824897,Norte,AC
2014,Acre,400239.0,36908.0,790101.0,13458697630.0,5.15,0.5065668819555981,0.04671301517147808,17034.148330403328,1.7564262559838673,7.269608565723695,-1.040326040326045,25.3,116.8,-9.975377,-67.824897,Norte,AC
2015,Acre,431341.0,39087.0,803513.0,13622801799.0,5.3,0.5368189438129812,0.04864513704196447,16954.05276454768,1.6975044962606045,7.770856912994484,5.90386907987428,27.500000000000004,133.6,-9.975377,-67.824897,Norte,AC
2016,Acre,447628.0,39560.0,816687.0,13754239978.0,5.5,0.5481022717393567,0.04843961027909101,16841.507184514998,1.6395503246369403,3.775898882786466,1.2101210121012063,29.599999999999998,142.4,-9.975377,-67.824897,Norte,AC
2017,Acre,466159.0,38419.0,829619.0,14272940594.0,5.7,0.5618952796404133,0.046309209408174117,17204.211323511154,1.5834707788908053,4.139821458889981,-2.8842264914054616,31.6,152.5,-9.975377,-67.824897,Norte,AC
2018,Acre,452742.0,35454.0,869265.0,15331122590.0,5.75,0.5208331176338631,0.04078618142913841,17636.880111358445,4.7788201572046995,-2.8782025017215163,-7.717535594367375,37.9,145.2,-9.975377,-67.824897,Norte,AC
2019,Acre,491299.0,37322.0,881935.0,15630016942.0,5.8,0.5570693985384411,0.0423183114401855,17722.41371756422,1.457553220249297,8.516329388481747,5.2687990071642155,39.900000000000006,166.1,-9.975377,-67.824897,Norte,AC
2020,Acre,549969.0,40911.0,894470.0,16476370837.0,5.599999999999999,0.6148546066385681,0.04573769941976813,18420.260978009323,1.4213065588733809,11.94181140201791,9.616312094743051,41.9,197.9,-9.975377,-67.824897,Norte,AC
2004,Alagoas,644921.0,1841966.0,2980910.0,14044907468.0,2.4,0.21635037622739364,0.6179207020674895,4711.617414816281,,,,0.0,0.0,-9.665227,-35.735008,Nordeste,AL
2005,Alagoas,686787.0,1892728.0,3015912.0,15484521444.0,2.4,0.2277211669306001,0.6275806455891286,5134.274953645862,1.1742051923741448,6.491647814228418,2.755859771570157,1.2,6.5,-9.665227,-35.735008,Nordeste,AL
2006,Alagoas,695169.0,1865881.0,3050652.0,17395670950.0,2.75,0.2278755492268538,0.6116335130981836,5702.279692996775,1.1518903734591746,1.2204657339174974,-1.41842884978719,2.3,7.8,-9.665227,-35.735008,Nordeste,AL
2007,Alagoas,741396.0,1927325.0,3037231.0,19871265910.0,3.1,0.24410260530068342,0.6345664850648501,6542.559953457607,-0.4399387409642297,6.649749916926684,3.293028869472381,1.9,15.0,-9.665227,-35.735008,Nordeste,AL
2008,Alagoas,809225.0,1985292.0,3127557.0,22262294595.0,3.25,0.2587402883464634,0.634774042487475,7118.109948116054,2.9739588460673483,9.14882195210116,3.007640122968369,4.9,25.5,-9.665227,-35.735008,Nordeste,AL
2009,Alagoas,854277.0,1777849.0,3156108.0,24182387524.0,3.4,0.2706741974609234,0.5633042342023784,7662.091260501858,0.9128850409440892,5.56730204825604,-10.448991886332081,5.8999999999999995,32.5,-9.665227,-35.735008,Nordeste,AL
2010,Alagoas,925967.0,1895848.0,3120494.0,27133037860.0,3.4500000000000006,0.2967373114641464,0.6075473947394227,8695.109767876496,-1.1284151239437934,8.391891622974757,6.637177848062459,4.7,43.6,-9.665227,-35.735008,Nordeste,AL
