Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2023*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  42.813.160 ,  42.897.153 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  85.710.313 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  3.178.215 ,  2.962.136 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.140.351 
Nordeste,  7.649.099 ,  7.491.621 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  15.140.720 
Sudeste,  20.422.809 ,  20.584.858 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  41.007.667 
Sul,  8.316.139 ,  8.622.232 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  16.938.371 
Centro-Oeste,  3.246.899 ,  3.236.306 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.483.205 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  236.778 ,  224.415 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  461.194 
Norte,  3.571.001 ,  3.364.943 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.935.944 
Nordeste,  6.659.377 ,  6.523.348 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  13.182.725 
Sudeste/C.Oeste,  24.029.865 ,  24.162.215 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  48.192.080 
Sul,  8.316.139 ,  8.622.232 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  16.938.371 
*Dados preliminares (última atualização: 20/3/2023),,,,,,,,,,,,,
,2022,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  42.591.108 ,  41.977.417 ,  44.269.085 ,  43.140.647 ,  42.014.108 ,  40.746.815 ,  41.198.550 ,  42.098.359 ,  42.051.557 ,  42.490.491 ,  42.776.621 ,  43.353.338 ,  508.708.094 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  3.034.426 ,  2.774.464 ,  3.004.003 ,  2.935.490 ,  3.097.713 ,  3.119.389 ,  3.253.791 ,  3.417.385 ,  3.380.235 ,  3.421.165 ,  3.344.994 ,  3.309.712 ,  38.092.767 
Nordeste,  7.265.539 ,  7.008.483 ,  7.472.068 ,  7.211.923 ,  7.272.816 ,  7.025.023 ,  7.109.090 ,  7.306.881 ,  7.421.404 ,  7.642.277 ,  7.791.257 ,  7.692.695 ,  88.219.456 
