UF,jan. 2004,fev. 2004,mar. 2004,abr. 2004,mai. 2004,jun. 2004,jul. 2004,ago. 2004,set. 2004,out. 2004,nov. 2004,dez. 2004,jan. 2005,fev. 2005,mar. 2005,abr. 2005,mai. 2005,jun. 2005,jul. 2005,ago. 2005,set. 2005,out. 2005,nov. 2005,dez. 2005,jan. 2006,fev. 2006,mar. 2006,abr. 2006,mai. 2006,jun. 2006,jul. 2006,ago. 2006,set. 2006,out. 2006,nov. 2006,dez. 2006,jan. 2007,fev. 2007,mar. 2007,abr. 2007,mai. 2007,jun. 2007,jul. 2007,ago. 2007,set. 2007,out. 2007,nov. 2007,dez. 2007,jan. 2008,fev. 2008,mar. 2008,abr. 2008,mai. 2008,jun. 2008,jul. 2008,ago. 2008,set. 2008,out. 2008,nov. 2008,dez. 2008,jan. 2009,fev. 2009,mar. 2009,abr. 2009,mai. 2009,jun. 2009,jul. 2009,ago. 2009,set. 2009,out. 2009,nov. 2009,dez. 2009,jan. 2010,fev. 2010,mar. 2010,abr. 2010,mai. 2010,jun. 2010,jul. 2010,ago. 2010,set. 2010,out. 2010,nov. 2010,dez. 2010,jan. 2011,fev. 2011,mar. 2011,abr. 2011,mai. 2011,jun. 2011,jul. 2011,ago. 2011,set. 2011,out. 2011,nov. 2011,dez. 2011,jan. 2012,fev. 2012,mar. 2012,abr. 2012,mai. 2012,jun. 2012,jul. 2012,ago. 2012,set. 2012,out. 2012,nov. 2012,dez. 2012,jan. 2013,fev. 2013,mar. 2013,abr. 2013,mai. 2013,jun. 2013,jul. 2013,ago. 2013,set. 2013,out. 2013,nov. 2013,dez. 2013,jan. 2014,fev. 2014,mar. 2014,abr. 2014,mai. 2014,jun. 2014,jul. 2014,ago. 2014,set. 2014,out. 2014,nov. 2014,dez. 2014,jan. 2015,fev. 2015,mar. 2015,abr. 2015,mai. 2015,jun. 2015,jul. 2015,ago. 2015,set. 2015,out. 2015,nov. 2015,dez. 2015,jan. 2016,fev. 2016,mar. 2016,abr. 2016,mai. 2016,jun. 2016,jul. 2016,ago. 2016,set. 2016,out. 2016,nov. 2016,dez. 2016,jan. 2017,fev. 2017,mar. 2017,abr. 2017,mai. 2017,jun. 2017,jul. 2017,ago. 2017,set. 2017,out. 2017,nov. 2017,dez. 2017,jan. 2018,fev. 2018,mar. 2018,abr. 2018,mai. 2018,jun. 2018,jul. 2018,ago. 2018,set. 2018,out. 2018,nov. 2018,dez. 2018,jan. 2019,fev. 2019,mar. 2019,abr. 2019,mai. 2019,jun. 2019,jul. 2019,ago. 2019,set. 2019,out. 2019,nov. 2019,dez. 2019,jan. 2020,fev. 2020,mar. 2020,abr. 2020,mai. 2020,jun. 2020,jul. 2020,ago. 2020,set. 2020,out. 2020,nov. 2020,dez. 2020,jan. 2021,fev. 2021,mar. 2021,abr. 2021,mai. 2021,jun. 2021,jul. 2021,ago. 2021,set. 2021,out. 2021,nov. 2021,dez. 2021,jan. 2022,fev. 2022,mar. 2022,abr. 2022,mai. 2022,jun. 2022,jul. 2022,ago. 2022,set. 2022,out. 2022,nov. 2022,dez. 2022,jan. 2023
Rondônia,17.012,15.490,18.641,16.961,17.462,18.505,18.387,19.468,20.556,19.642,19.651,19.153,19.337,16.713,19.513,18.390,20.018,20.124,21.187,20.213,20.653,20.406,20.449,21.168,19.685,17.216,17.627,17.835,17.769,17.940,20.237,19.602,21.271,21.125,19.528,21.662,19.850,19.487,20.106,20.276,20.833,21.530,23.785,22.865,25.041,24.569,25.433,27.282,24.922,23.283,25.173,23.632,26.546,25.224,24.711,26.731,25.368,24.788,24.854,25.568,23.569,20.486,24.332,23.984,25.586,25.445,27.126,28.625,29.261,31.313,31.358,29.622,29.588,27.308,29.904,31.815,32.830,36.126,33.145,33.890,35.281,35.675,34.480,34.039,34.242,31.928,34.507,34.188,31.913,35.235,38.426,38.153,39.779,37.532,37.415,38.881,44.111,41.524,56.187,43.924,51.224,47.255,45.595,50.357,46.055,46.596,51.138,43.589,44.585,43.613,45.534,44.453,46.250,44.252,59.860,44.330,52.406,53.773,42.808,76.719,40.734,42.876,45.900,46.382,47.935,47.709,46.594,46.291,47.267,47.165,49.193,44.931,41.101,37.596,40.467,37.954,36.415,36.587,37.322,35.949,37.553,38.365,35.737,35.353,32.563,35.263,35.301,34.219,35.575,34.634,34.966,34.618,32.266,34.215,36.093,34.359,31.212,33.655,33.176,30.688,36.102,34.999,35.988,37.287,35.891,38.806,38.736,37.310,34.321,34.176,38.011,37.588,35.091,37.626,39.809,40.104,37.333,41.129,38.788,36.463,37.489,36.248,37.381,36.840,39.469,36.011,40.502,38.690,38.763,38.593,37.789,37.590,34.962,39.359,38.032,35.785,37.498,36.605,42.684,41.813,40.974,41.367,41.089,41.246,34.126,36.622,30.029,37.684,37.913,38.848,39.119,40.634,35.071,37.787,38.063,41.014,37.330,37.044,40.209,37.868,38.480,39.830,41.826,43.959,42.392,43.458,40.600,42.282,41.400
Acre,1.738,1.724,1.881,1.715,1.704,1.962,1.809,2.103,2.542,2.220,2.325,2.374,1.976,2.119,2.047,1.963,1.889,1.972,2.126,2.154,2.282,2.346,2.175,2.511,2.027,2.077,1.943,2.091,1.851,2.055,1.884,2.217,2.498,2.570,2.594,2.448,2.469,2.548,2.107,2.493,2.373,2.126,2.485,2.928,2.542,2.965,2.608,2.727,2.504,2.526,2.452,2.521,2.480,2.581,2.981,3.002,3.106,2.790,2.716,2.821,2.159,2.566,2.331,3.035,2.328,2.480,2.805,2.865,3.060,3.038,3.257,3.088,2.548,2.801,2.425,3.004,2.957,3.035,3.190,3.154,3.069,3.219,3.195,3.200,2.954,3.291,2.700,3.030,2.928,3.295,3.066,3.428,3.515,3.022,3.431,3.279,3.439,3.324,3.158,3.270,3.484,3.823,3.601,4.052,3.683,4.540,3.873,3.578,2.931,2.873,2.825,2.693,3.508,3.183,3.289,3.194,3.168,3.673,3.233,2.726,3.431,3.072,2.832,2.624,3.018,3.141,3.269,2.828,3.344,3.323,3.136,2.890,3.094,2.937,3.071,3.049,2.853,3.401,3.182,3.348,3.602,3.186,3.776,3.588,3.154,3.492,3.476,3.374,3.740,3.816,3.397,3.406,2.781,2.753,3.085,3.086,3.459,2.175,3.151,3.098,3.104,3.046,3.224,3.956,3.279,3.235,3.307,3.385,2.980,2.292,2.575,2.932,3.213,2.782,3.216,3.373,3.099,3.294,3.118,2.580,3.056,2.559,2.917,2.946,2.589,2.770,3.373,3.492,3.458,3.342,3.348,3.472,3.067,3.312,3.348,3.137,3.146,3.421,3.606,3.774,3.711,3.552,3.537,3.300,3.559,3.447,3.103,3.504,3.625,3.575,3.846,4.387,3.899,3.833,3.750,4.002,3.736,3.282,3.925,3.847,3.908,4.078,4.203,4.245,4.310,4.077,4.125,4.171,3.803
Amazonas,93.449,101.556,101.814,102.970,104.589,107.710,112.740,113.925,113.650,126.346,118.085,126.423,105.472,109.013,109.178,105.331,116.660,118.357,121.534,125.105,126.400,130.110,126.959,119.564,113.699,122.033,122.357,128.545,126.113,128.241,127.362,133.410,136.401,132.901,135.677,127.231,114.038,122.892,125.914,129.096,130.760,137.039,127.840,137.937,140.333,143.303,143.454,131.430,124.596,128.933,135.858,133.053,136.500,141.235,138.382,149.070,150.617,150.572,150.567,123.978,107.117,113.231,116.105,115.810,118.377,121.402,117.150,137.830,128.054,142.707,133.965,128.962,120.258,131.435,125.641,140.019,137.200,139.501,129.670,147.416,144.966,150.949,149.663,135.125,133.819,142.025,139.700,144.020,146.499,146.123,147.862,160.371,152.989,161.326,156.888,143.738,144.428,167.018,167.413,151.823,154.836,144.282,141.884,161.756,147.043,157.598,151.161,127.044,140.657,131.564,150.899,152.647,150.326,144.558,151.609,159.810,150.586,163.286,153.287,134.659,151.841,144.760,146.843,148.922,152.727,126.412,150.633,155.460,157.672,162.271,154.328,135.060,145.619,137.665,150.848,140.461,140.492,130.102,135.015,150.822,141.451,148.581,136.238,112.967,128.298,119.260,126.944,118.606,125.263,115.529,135.752,123.003,151.940,148.659,167.018,91.527,132.247,122.159,126.918,123.705,130.672,130.321,135.341,151.110,135.856,141.983,138.225,126.027,136.594,127.208,142.774,137.867,141.522,126.108,140.518,149.424,137.103,147.865,136.456,119.259,135.982,125.802,131.291,137.001,140.268,128.568,141.588,150.913,141.750,150.827,146.196,123.692,143.557,136.565,145.218,91.784,104.728,129.398,147.101,152.691,156.169,160.106,153.069,141.022,129.755,130.051,157.052,152.061,157.178,152.013,156.045,165.693,161.271,165.608,160.214,139.296,148.788,144.548,161.249,152.871,165.309,155.629,166.840,180.329,173.843,176.547,170.725,147.576,162.273
Roraima,1.686,1.599,1.680,1.811,1.831,1.661,1.154,1.081,1.749,1.619,1.036,2.049,1.152,456,1.205,1.264,1.274,1.196,963,942,1.055,1.183,1.113,1.250,1.119,1.664,1.290,840,1.280,1.285,1.167,1.079,1.174,1.085,1.193,1.087,1.096,1.213,1.352,1.176,1.255,1.190,1.211,1.250,1.164,1.178,1.246,1.332,1.216,1.368,1.349,1.468,1.232,1.196,1.309,1.230,1.178,1.402,1.189,1.283,1.125,1.208,1.415,1.352,1.336,1.189,1.352,1.169,1.221,1.267,1.286,1.218,1.576,1.459,1.541,1.731,1.466,1.346,1.225,1.457,1.296,1.491,1.284,1.229,1.480,1.120,1.463,1.339,1.338,1.312,1.132,1.199,1.452,1.397,1.227,1.343,1.313,1.336,1.738,2.030,1.584,1.730,1.514,1.484,1.451,1.416,1.463,1.584,1.646,1.422,1.605,1.909,1.604,1.340,1.472,1.464,1.397,1.426,1.305,1.470,1.431,1.190,1.542,1.657,1.860,1.533,1.693,1.623,1.944,2.013,1.760,1.845,1.770,1.700,2.057,1.808,1.800,1.751,1.681,1.582,1.934,1.991,2.071,2.659,2.068,2.108,2.380,2.111,2.315,2.192,2.113,2.149,2.209,2.121,2.076,2.192,2.209,2.059,2.285,2.200,1.826,1.703,1.753,1.850,1.887,2.017,2.140,2.202,2.306,2.560,3.164,2.750,1.889,2.222,1.948,2.261,2.198,2.509,2.452,2.405,2.172,2.251,2.418,2.178,2.043,1.658,1.718,1.579,1.823,1.886,1.565,1.471,1.645,1.755,2.126,2.117,1.927,1.552,1.870,1.832,2.009,1.971,1.693,2.099,1.851,1.851,1.878,2.029,1.790,1.689,1.666,1.698,1.824,1.839,1.929,1.963,1.940,2.005,2.115,1.939,1.901,1.797,1.842,1.989,1.979,2.073,2.516,2.571,2.269
Pará,716.659,682.266,746.171,727.245,764.490,764.359,789.528,829.605,766.214,786.786,781.721,792.055,785.787,760.992,785.031,756.442,788.183,766.592,777.011,779.845,763.414,813.700,800.522,812.652,811.498,744.696,831.637,801.659,829.385,806.779,835.116,856.277,829.534,856.823,830.876,852.392,851.421,781.071,858.492,825.670,874.376,851.548,887.014,892.295,862.467,901.730,872.630,902.181,851.024,824.316,876.612,851.073,862.089,888.618,902.769,906.196,899.871,945.228,887.893,891.837,889.771,762.417,836.233,844.488,845.516,887.186,892.443,878.670,858.711,884.109,876.965,871.536,889.357,824.699,908.104,880.638,922.039,900.574,935.000,940.042,924.963,940.662,914.299,944.851,950.985,875.387,999.451,965.135,983.060,968.450,1.001.011,1.000.207,966.021,1.023.582,961.390,1.002.643,1.012.349,973.415,1.039.877,970.226,987.352,933.425,967.909,955.720,931.195,958.893,896.867,926.565,933.187,858.514,958.442,950.715,925.314,896.100,960.714,963.036,945.846,1.001.090,984.636,1.047.594,1.024.812,935.238,1.021.545,1.001.964,1.023.313,985.358,1.019.564,1.017.174,1.024.137,1.008.162,992.444,1.031.564,1.020.038,941.181,1.023.041,985.767,1.043.584,1.014.041,1.060.582,1.060.573,1.049.463,1.055.370,1.024.837,1.070.700,1.026.982,1.010.625,1.104.091,1.007.567,1.081.295,1.020.612,1.081.574,1.071.344,1.048.796,1.073.430,1.044.323,1.101.293,1.076.758,962.340,1.085.914,1.026.175,1.097.157,1.050.522,1.111.756,1.093.518,1.042.325,1.093.398,1.053.167,1.072.847,1.085.790,996.917,1.089.364,894.631,830.914,796.123,840.708,800.467,818.562,821.735,804.100,842.972,844.805,736.774,836.276,775.883,840.958,884.234,927.941,966.713,942.500,1.000.209,980.125,1.055.858,1.059.160,986.533,947.687,909.140,936.416,933.761,978.275,1.040.045,1.017.017,1.069.447,1.009.163,1.057.360,1.070.134,1.007.058,1.089.120,1.080.297,1.124.637,1.074.562,1.091.459,1.079.667,1.057.062,1.076.982,1.091.405,1.126.895,1.102.983,932.521,999.381,977.666,1.046.878,1.090.593,1.171.670,1.188.542,1.114.001,1.130.199,1.136.391,1.180.746,1.174.575
Amapá,3.201,354,1.772,1.737,1.461,1.920,2.217,1.988,2.160,2.003,2.338,2.085,2.085,2.085,2.085,2.085,2.056,2.248,2.028,2.821,3.353,3.898,3.419,4.259,3.824,3.633,3.516,3.904,3.897,4.591,3.985,5.071,5.048,1.856,4.255,4.542,4.253,4.097,4.084,4.258,4.031,4.470,4.231,4.353,4.666,4.039,4.419,4.037,4.450,3.869,3.476,3.878,3.955,4.480,4.501,4.647,4.869,4.700,5.307,4.870,4.045,3.709,3.147,3.315,2.724,2.937,2.623,2.756,3.270,2.886,3.018,3.379,2.606,2.724,2.694,2.700,2.527,2.987,2.842,2.996,3.322,3.204,2.842,3.193,3.007,2.870,2.636,2.568,2.785,2.935,2.951,2.976,2.689,3.149,3.182,2.954,3.098,2.816,1.700,2.725,2.727,3.382,3.471,3.550,3.386,3.374,3.157,3.194,2.579,2.699,2.605,2.599,2.622,2.954,2.815,3.711,3.709,4.525,3.868,3.321,3.035,3.718,3.137,3.186,3.200,3.150,2.802,3.667,3.486,3.193,3.338,3.309,2.949,2.831,2.652,2.853,2.525,3.039,2.463,3.431,3.260,3.327,4.226,3.816,3.932,4.115,3.739,3.550,3.889,3.835,4.053,5.265,4.214,3.402,3.689,3.720,3.654,3.577,3.660,3.652,4.484,5.301,5.585,6.468,5.892,6.212,6.625,6.631,6.769,6.114,5.915,6.632,6.756,6.935,7.953,7.421,8.831,8.383,6.764,9.226,8.209,8.117,7.779,8.194,8.452,8.863,9.260,9.036,9.256,9.724,9.546,9.657,9.442,7.923,9.965,8.866,8.750,10.326,9.480,9.339,9.153,9.447,8.456,5.507,5.689,6.211,5.721,6.069,5.710,6.024,5.901,6.509,6.627,6.543,6.664,5.787,9.137,8.257,6.481,11.520,9.733,9.695,9.121,9.191,5.387,8.728,8.581,7.588,7.393
Tocantins,6.545,7.267,8.929,9.173,10.173,10.593,10.401,11.035,10.052,9.022,9.409,8.423,7.696,7.986,9.527,8.996,9.941,9.578,10.017,10.599,9.101,8.532,7.880,8.409,7.656,7.679,8.303,7.894,8.966,8.812,9.106,10.011,9.288,9.581,8.975,8.093,8.545,8.199,9.809,10.259,11.276,10.931,11.320,11.664,10.856,11.383,10.762,10.245,10.124,10.448,11.650,12.400,12.342,13.365,13.474,13.219,12.590,12.037,9.790,9.252,9.969,9.617,11.425,11.803,12.805,14.531,16.081,15.717,13.469,13.276,12.567,13.286,13.020,15.113,17.082,15.807,17.989,18.490,18.644,18.534,18.142,18.343,17.238,17.410,17.227,16.056,17.969,20.306,20.721,20.037,21.996,20.065,21.148,19.829,18.884,18.201,18.352,18.025,18.983,21.261,22.134,20.604,21.509,21.248,20.628,18.867,18.791,17.725,18.918,19.425,21.041,22.214,21.593,24.075,25.742,25.248,26.341,25.562,23.600,21.741,20.950,21.271,23.680,24.356,26.226,28.727,28.817,26.252,28.059,30.271,26.045,24.165,21.670,20.416,27.259,26.621,27.670,27.763,29.737,28.641,30.823,29.752,23.576,22.787,18.999,23.996,28.190,27.175,25.828,27.879,25.706,24.797,23.808,21.307,22.581,19.778,18.456,19.964,22.523,25.649,23.005,28.074,25.961,27.769,26.296,29.345,23.866,24.668,25.228,24.599,29.425,27.702,28.763,29.034,30.306,32.155,31.469,30.722,27.608,27.623,25.521,27.641,30.757,29.314,27.391,28.358,28.482,25.550,28.377,27.720,21.620,23.698,20.648,24.593,24.338,24.706,26.951,29.936,31.053,30.820,30.827,30.492,25.210,26.171,24.404,24.606,26.209,33.518,32.534,33.950,35.980,35.718,32.356,34.415,31.141,29.275,25.771,28.240,31.517,34.587,34.310,37.219,38.968,42.028,40.279,40.610,34.281,33.582,30.830
Maranhão,558.175,528.802,568.190,550.875,570.381,549.176,563.102,572.024,553.137,599.405,558.134,573.729,567.848,519.689,572.720,535.896,571.371,567.331,579.166,578.835,566.163,587.161,574.727,648.481,616.295,564.260,622.228,617.943,617.451,620.979,653.102,667.229,647.912,670.453,646.040,672.355,669.386,603.336,663.863,647.525,674.040,648.348,674.719,685.862,658.656,681.499,662.831,681.498,679.504,629.112,675.589,645.871,672.076,658.703,691.265,686.248,669.654,689.307,661.416,679.535,668.963,570.774,628.561,607.252,669.407,613.016,640.786,638.448,624.915,640.804,633.331,662.239,673.832,603.469,656.174,639.881,653.402,638.771,665.569,678.043,656.906,680.376,653.534,682.515,679.901,605.115,673.857,669.259,700.244,682.394,703.422,715.505,680.419,686.019,659.412,655.715,646.560,608.552,639.554,633.073,655.578,601.114,598.345,620.326,612.385,602.276,574.995,579.911,568.257,515.263,570.460,559.631,556.815,523.575,550.615,559.726,479.957,446.870,423.174,436.101,426.473,379.418,414.443,338.557,253.870,229.621,235.112,256.207,239.963,246.453,236.870,243.880,242.883,220.441,263.118,164.384,81.385,87.205,84.758,100.475,91.112,88.009,82.490,87.218,78.923,77.474,101.520,101.875,85.646,80.108,88.640,106.806,104.909,91.885,106.224,90.842,89.282,78.246,114.772,89.122,85.462,83.872,87.784,104.862,103.711,96.227,102.735,114.825,97.350,83.106,105.009,98.303,96.499,100.813,120.371,120.254,110.562,120.891,120.521,123.152,115.226,115.687,120.764,104.850,123.862,134.820,137.555,144.243,135.568,135.122,138.231,142.535,113.622,108.507,117.877,127.180,140.712,133.495,129.732,139.440,138.366,158.391,148.771,136.566,124.269,119.741,118.733,117.183,124.350,143.066,154.949,157.239,157.774,161.166,160.521,158.171,138.345,127.854,127.962,135.981,156.897,186.443,233.942,275.771,304.894,351.085,375.553,413.956,433.721
Piauí,14.788,12.353,12.280,14.858,14.868,14.869,15.035,16.185,17.400,16.827,15.281,16.600,16.740,16.308,15.307,14.839,16.838,18.147,17.384,17.240,17.780,18.806,19.657,17.133,18.145,16.464,14.438,16.516,16.369,18.275,17.474,18.033,20.441,17.486,19.684,19.068,18.972,19.148,14.622,17.364,20.290,19.275,18.510,19.420,20.468,18.282,21.786,21.002,19.877,18.734,18.829,16.782,18.255,20.051,17.882,20.422,21.588,21.090,22.478,19.944,19.462,20.281,17.666,14.008,17.111,19.059,18.575,18.706,20.125,21.708,24.065,20.604,20.235,21.222,18.818,20.467,21.368,18.627,20.828,22.005,23.056,21.122,21.659,22.017,19.834,20.208,16.846,17.619,18.045,21.040,21.173,22.192,21.113,23.095,22.237,21.870,22.006,22.051,20.363,24.269,18.014,17.494,18.156,19.557,18.480,16.151,15.721,15.560,20.755,18.954,19.380,24.408,22.526,22.408,23.754,23.889,23.689,21.572,22.722,24.540,22.785,21.002,23.056,21.052,21.750,26.309,26.225,26.954,26.394,24.042,25.935,23.421,24.544,19.836,22.350,21.310,22.952,22.938,23.474,24.531,22.040,22.989,21.752,22.079,18.133,17.212,19.380,19.463,21.146,18.096,20.824,21.719,19.404,19.669,21.603,20.794,19.057,17.252,15.692,15.087,17.857,16.006,17.634,17.838,17.829,19.103,18.845,17.011,17.250,14.081,15.799,15.789,17.059,17.603,17.725,18.869,18.365,18.539,17.852,11.205,15.184,13.504,16.083,16.277,17.178,18.175,19.081,18.767,18.752,19.430,18.619,16.891,15.895,12.924,15.153,10.724,13.056,16.457,13.533,17.200,20.282,19.725,18.601,17.887,17.385,14.500,17.138,17.038,19.014,19.498,20.111,20.328,20.102,20.295,18.097,18.120,16.085,13.596,16.814,17.227,19.519,19.807,20.072,20.333,20.139,20.616,18.757,23.018,17.407
Ceará,139.002,135.533,154.654,144.993,152.067,151.270,156.541,162.161,164.965,160.196,174.609,167.282,154.596,154.905,161.466,156.991,164.107,160.153,160.849,173.891,168.290,170.050,165.881,158.635,160.602,152.853,160.595,152.252,160.284,161.532,157.325,162.783,164.511,172.501,173.146,152.239,164.485,157.394,160.370,161.358,165.550,165.383,174.576,178.958,169.688,182.455,179.462,174.334,153.469,166.634,172.223,162.509,163.863,170.502,179.154,173.938,179.974,184.986,177.722,162.299,156.488,161.734,165.139,161.867,157.436,166.664,180.494,184.172,184.840,191.000,190.792,171.632,165.651,171.163,184.857,175.377,187.190,191.111,189.086,195.280,193.441,193.262,196.163,181.315,167.607,184.004,191.928,184.795,186.226,193.254,199.820,204.823,209.887,207.479,198.333,185.144,183.499,196.706,197.956,189.919,195.917,195.653,201.399,207.862,204.177,210.565,209.861,189.510,194.085,196.126,202.123,201.246,212.658,204.544,206.321,219.685,213.803,227.203,221.752,198.771,189.148,203.500,203.931,197.295,204.540,187.759,208.213,217.135,210.827,216.538,220.287,197.254,195.395,198.362,201.145,198.285,206.232,200.574,207.276,212.369,202.262,204.123,204.577,176.881,178.465,186.555,213.205,223.560,241.347,281.403,290.313,258.790,225.550,205.782,207.359,185.476,194.699,186.401,197.461,187.823,196.578,202.401,203.262,211.126,203.310,210.596,209.994,179.619,176.848,182.041,188.265,201.630,206.237,210.956,212.023,193.429,186.727,191.717,184.843,186.389,171.257,228.584,191.714,208.568,201.591,201.353,220.269,208.631,213.272,211.650,223.251,223.739,201.145,204.051,175.963,81.640,124.464,157.075,201.046,200.668,221.426,235.041,203.072,199.060,194.230,215.672,207.590,210.503,208.377,216.687,220.852,235.863,234.605,237.085,231.388,223.652,192.360,208.927,217.270,221.550,211.464,232.736,226.251,237.455,244.596,228.465,227.115,219.315,195.757
