UF,jan. 2004,fev. 2004,mar. 2004,abr. 2004,mai. 2004,jun. 2004,jul. 2004,ago. 2004,set. 2004,out. 2004,nov. 2004,dez. 2004,jan. 2005,fev. 2005,mar. 2005,abr. 2005,mai. 2005,jun. 2005,jul. 2005,ago. 2005,set. 2005,out. 2005,nov. 2005,dez. 2005,jan. 2006,fev. 2006,mar. 2006,abr. 2006,mai. 2006,jun. 2006,jul. 2006,ago. 2006,set. 2006,out. 2006,nov. 2006,dez. 2006,jan. 2007,fev. 2007,mar. 2007,abr. 2007,mai. 2007,jun. 2007,jul. 2007,ago. 2007,set. 2007,out. 2007,nov. 2007,dez. 2007,jan. 2008,fev. 2008,mar. 2008,abr. 2008,mai. 2008,jun. 2008,jul. 2008,ago. 2008,set. 2008,out. 2008,nov. 2008,dez. 2008,jan. 2009,fev. 2009,mar. 2009,abr. 2009,mai. 2009,jun. 2009,jul. 2009,ago. 2009,set. 2009,out. 2009,nov. 2009,dez. 2009,jan. 2010,fev. 2010,mar. 2010,abr. 2010,mai. 2010,jun. 2010,jul. 2010,ago. 2010,set. 2010,out. 2010,nov. 2010,dez. 2010,jan. 2011,fev. 2011,mar. 2011,abr. 2011,mai. 2011,jun. 2011,jul. 2011,ago. 2011,set. 2011,out. 2011,nov. 2011,dez. 2011,jan. 2012,fev. 2012,mar. 2012,abr. 2012,mai. 2012,jun. 2012,jul. 2012,ago. 2012,set. 2012,out. 2012,nov. 2012,dez. 2012,jan. 2013,fev. 2013,mar. 2013,abr. 2013,mai. 2013,jun. 2013,jul. 2013,ago. 2013,set. 2013,out. 2013,nov. 2013,dez. 2013,jan. 2014,fev. 2014,mar. 2014,abr. 2014,mai. 2014,jun. 2014,jul. 2014,ago. 2014,set. 2014,out. 2014,nov. 2014,dez. 2014,jan. 2015,fev. 2015,mar. 2015,abr. 2015,mai. 2015,jun. 2015,jul. 2015,ago. 2015,set. 2015,out. 2015,nov. 2015,dez. 2015,jan. 2016,fev. 2016,mar. 2016,abr. 2016,mai. 2016,jun. 2016,jul. 2016,ago. 2016,set. 2016,out. 2016,nov. 2016,dez. 2016,jan. 2017,fev. 2017,mar. 2017,abr. 2017,mai. 2017,jun. 2017,jul. 2017,ago. 2017,set. 2017,out. 2017,nov. 2017,dez. 2017,jan. 2018,fev. 2018,mar. 2018,abr. 2018,mai. 2018,jun. 2018,jul. 2018,ago. 2018,set. 2018,out. 2018,nov. 2018,dez. 2018,jan. 2019,fev. 2019,mar. 2019,abr. 2019,mai. 2019,jun. 2019,jul. 2019,ago. 2019,set. 2019,out. 2019,nov. 2019,dez. 2019,jan. 2020,fev. 2020,mar. 2020,abr. 2020,mai. 2020,jun. 2020,jul. 2020,ago. 2020,set. 2020,out. 2020,nov. 2020,dez. 2020,jan. 2021,fev. 2021,mar. 2021,abr. 2021,mai. 2021,jun. 2021,jul. 2021,ago. 2021,set. 2021,out. 2021,nov. 2021,dez. 2021,jan. 2022,fev. 2022,mar. 2022,abr. 2022,mai. 2022,jun. 2022,jul. 2022,ago. 2022,set. 2022,out. 2022,nov. 2022,dez. 2022,jan. 2023
Rondônia,44.271,41.823,40.309,41.622,42.820,39.616,40.586,39.354,42.564,45.081,44.687,42.843,42.228,42.059,44.612,42.779,42.074,43.170,44.037,41.782,44.447,45.669,48.912,46.609,44.843,44.799,47.243,45.120,43.171,44.069,48.872,49.050,51.273,50.844,49.650,48.200,47.135,47.127,44.459,46.673,47.897,45.868,47.403,47.988,52.780,50.861,51.818,49.226,49.733,47.328,47.252,49.407,46.968,48.550,49.574,53.607,58.773,56.288,57.809,54.478,54.926,54.457,51.735,54.164,56.463,53.150,56.443,57.825,62.417,59.617,63.176,60.633,59.914,57.565,62.418,65.976,65.305,62.714,67.081,62.446,70.435,78.705,72.622,68.765,69.058,66.304,63.463,67.116,67.564,71.642,71.322,77.923,77.068,83.026,82.887,78.087,73.563,74.375,75.179,82.329,85.143,90.004,83.757,97.974,101.469,94.769,105.430,96.717,87.432,82.205,83.963,89.038,90.879,90.647,91.379,89.040,91.635,96.334,98.570,93.001,96.935,87.652,91.181,93.553,92.233,92.457,90.202,98.172,106.995,107.846,100.259,99.962,96.183,87.614,89.867,94.670,92.198,96.984,93.492,99.793,107.380,109.680,103.269,105.907,95.136,93.478,97.616,95.267,91.624,90.500,91.671,100.404,97.842,99.527,101.178,97.251,93.236,86.943,94.760,92.130,102.905,103.109,97.180,108.450,116.350,112.686,112.990,104.703,101.914,94.847,100.082,102.370,105.804,94.764,101.237,109.887,103.528,121.478,115.404,97.669,106.303,102.019,98.209,104.014,106.563,99.781,110.212,108.533,120.131,114.689,109.764,110.876,108.742,114.319,110.925,111.782,113.116,103.767,114.076,123.152,135.238,143.399,129.261,140.252,106.565,104.262,113.114,120.227,120.711,120.722,114.507,126.781,141.408,141.411,129.094,126.717,125.078,111.978,126.181,120.202,134.796,122.478,129.447,134.127,138.707,141.432,129.687,143.042,124.333
Acre,15.778,14.808,14.970,15.545,14.715,13.651,14.832,14.966,15.750,16.637,16.816,16.169,16.838,15.875,16.882,15.087,15.363,17.016,16.402,15.430,17.991,18.601,19.209,17.957,17.747,17.446,17.503,17.971,16.854,16.252,19.470,17.288,19.820,19.147,20.240,20.741,17.809,19.448,19.364,18.755,18.825,17.468,19.020,18.286,20.574,20.935,20.756,19.866,20.232,19.928,19.243,19.979,19.622,19.186,18.853,22.906,22.324,23.277,23.590,22.727,22.518,21.503,20.077,22.233,21.615,20.791,20.649,21.971,24.942,24.895,25.531,25.310,24.921,23.519,24.318,26.348,25.746,23.538,25.631,24.018,26.640,29.761,28.210,27.092,27.646,26.982,24.438,25.289,27.703,26.387,25.704,29.027,28.460,29.863,32.200,28.218,27.727,27.167,28.773,30.914,28.793,27.308,29.718,31.745,33.279,32.530,33.548,30.515,30.223,29.643,30.506,30.409,30.381,31.436,30.581,31.111,31.891,32.336,31.984,32.614,33.302,33.371,33.205,32.501,33.837,31.095,30.557,32.025,36.184,36.734,33.512,33.916,33.835,30.666,34.661,35.341,33.477,34.573,34.676,36.309,39.211,40.004,38.799,39.789,37.476,36.885,38.914,37.623,36.088,34.073,33.661,40.528,37.469,38.637,37.910,38.364,37.802,34.947,36.535,36.586,37.641,36.828,37.706,42.469,43.906,43.390,38.964,39.385,36.978,38.589,37.816,29.714,37.437,34.326,36.576,36.738,39.583,42.839,43.312,38.834,40.803,37.130,38.961,40.140,41.342,39.099,40.760,38.614,45.501,42.272,43.984,42.693,41.226,45.753,45.461,44.226,41.841,39.376,40.382,46.685,51.911,51.276,50.343,51.489,47.710,44.955,45.394,43.718,40.155,46.057,39.123,44.361,52.116,52.182,47.152,45.771,46.444,42.749,44.262,44.265,46.070,41.848,47.199,50.044,48.555,52.516,51.732,50.714,47.888
Amazonas,84.473,79.777,75.028,75.997,79.165,76.363,78.969,79.171,86.118,82.396,86.089,83.191,83.500,78.317,77.641,81.576,75.405,82.917,83.837,85.502,92.574,85.427,90.085,80.038,77.758,76.254,76.837,76.348,78.622,79.366,85.165,84.990,93.264,90.574,94.874,85.411,85.213,83.926,83.336,84.669,83.507,87.016,87.017,93.570,91.972,93.700,100.730,96.347,88.228,86.949,84.099,87.145,97.994,88.541,91.423,101.544,102.330,97.800,102.120,94.786,96.899,85.480,87.581,91.297,92.701,91.449,96.275,107.912,111.095,110.088,114.780,112.131,104.188,100.078,100.130,105.983,104.192,107.950,108.616,113.178,123.056,119.121,118.301,112.818,108.301,99.360,107.740,100.067,104.022,113.562,116.098,125.338,136.081,131.818,123.679,119.539,116.226,122.258,104.234,118.501,119.037,137.278,132.945,136.398,139.562,142.055,144.971,141.661,128.283,134.521,121.180,136.957,138.510,148.947,156.300,153.192,159.813,167.620,170.727,167.608,158.494,151.437,150.863,147.437,166.291,165.613,167.968,178.266,185.528,175.892,181.972,181.638,184.302,163.148,162.421,167.071,165.618,173.372,181.883,184.892,205.056,220.542,190.606,191.329,183.270,180.837,174.715,173.616,163.733,176.283,174.292,182.429,177.687,176.644,181.473,179.642,164.930,150.442,161.155,154.760,162.034,174.059,162.788,183.271,180.538,172.220,174.385,161.988,150.720,148.345,164.572,167.163,169.774,166.906,169.457,175.711,176.887,187.257,175.274,152.443,149.603,152.345,174.683,174.548,171.025,170.380,173.774,185.321,178.109,154.303,173.341,179.815,175.460,177.783,185.400,177.562,178.898,187.447,201.294,202.224,204.860,197.224,189.010,175.868,165.005,148.929,154.891,170.668,170.229,168.679,158.265,173.543,190.024,183.208,189.235,185.067,191.847,180.395,180.613,169.509,167.976,175.317,177.703,202.870,203.202,200.093,199.941,190.266,173.506
Roraima,15.607,14.793,14.461,15.417,13.130,13.541,13.256,12.645,14.175,15.159,15.656,15.434,15.679,15.026,14.307,15.098,13.314,13.301,13.875,13.537,15.015,15.410,17.629,14.389,14.278,13.675,13.721,13.664,14.371,13.646,12.750,13.898,15.376,16.753,17.264,15.600,16.789,15.271,16.230,16.218,16.377,15.291,14.677,15.746,16.519,16.668,18.699,17.072,16.410,16.787,17.219,17.722,17.532,16.320,15.802,16.163,19.288,19.117,19.846,18.878,18.158,18.421,18.504,19.114,20.749,18.349,17.052,18.441,20.951,22.497,22.332,21.100,21.131,20.660,20.704,23.176,20.934,21.177,19.751,20.711,23.041,25.407,24.357,22.801,26.337,20.497,22.617,25.055,22.674,21.751,23.181,22.942,26.372,27.977,25.364,27.174,26.119,25.765,26.320,27.094,25.701,26.847,25.334,24.906,26.822,30.931,32.072,31.409,29.191,28.157,27.623,33.177,28.260,28.084,28.603,27.236,27.934,34.267,32.386,32.174,33.357,31.556,33.852,33.127,35.178,33.656,31.600,30.824,37.950,40.392,35.716,38.299,37.956,34.292,39.064,37.949,35.022,32.112,34.950,35.141,40.465,46.783,41.775,40.081,37.808,39.292,43.841,41.058,36.431,34.877,33.672,38.602,39.368,41.685,42.026,42.702,37.554,35.364,40.613,35.844,38.851,35.787,34.039,41.140,41.100,45.261,46.648,43.720,39.403,41.580,41.063,43.959,36.643,35.689,33.337,39.203,38.489,49.372,46.589,37.118,39.638,37.511,41.200,45.030,38.162,30.526,36.212,34.234,37.114,41.771,40.081,39.457,40.377,37.768,47.738,45.688,40.068,39.524,39.823,38.617,45.426,48.601,45.923,46.761,41.040,41.033,41.959,47.037,41.502,41.891,43.905,44.216,51.657,52.671,54.429,51.401,49.379,51.645,51.808,50.137,46.577,44.840,45.725,51.739,54.081,59.347,54.001,54.825,53.436
Pará,141.171,133.722,129.020,145.309,137.325,141.205,135.724,146.423,141.930,142.047,149.190,148.315,148.187,135.499,139.527,144.594,143.910,147.107,148.916,155.237,155.233,153.266,155.462,151.126,148.007,141.043,140.327,145.249,142.382,150.346,151.026,153.364,160.642,162.296,163.488,154.257,154.411,147.312,138.718,152.320,151.091,158.765,151.926,161.267,166.001,165.917,171.958,166.256,163.528,156.153,154.892,157.539,161.655,169.302,173.327,179.638,186.502,187.768,180.662,178.632,180.075,161.006,157.631,163.107,154.174,163.761,175.330,180.265,184.526,183.142,186.641,188.780,178.777,172.000,189.197,192.523,186.366,203.057,195.809,195.784,202.757,203.412,202.378,198.594,188.012,167.876,185.733,180.107,187.413,206.890,198.203,204.041,208.937,204.164,203.099,211.474,198.220,178.508,191.858,191.370,204.746,199.579,193.269,212.529,210.148,207.894,216.717,204.270,208.748,199.909,191.863,209.138,211.554,218.029,218.625,226.308,220.480,240.917,233.986,252.463,228.022,246.922,262.120,244.895,271.989,264.325,383.030,183.918,271.768,273.147,277.656,292.463,262.569,258.543,250.537,231.749,246.142,244.945,291.331,290.433,300.510,337.330,370.682,347.261,291.134,276.301,267.248,278.336,296.113,319.036,340.868,331.059,336.335,334.891,333.288,341.490,293.688,263.632,273.397,290.847,319.859,325.598,318.338,342.029,344.209,345.840,342.382,350.094,300.555,283.806,288.677,300.258,307.201,319.204,319.236,305.843,308.641,316.507,327.175,294.409,266.164,266.227,262.048,266.447,286.117,313.839,312.475,319.115,325.537,328.869,333.709,331.271,304.391,294.086,292.593,313.630,312.720,326.119,345.098,355.566,358.676,364.360,368.295,293.328,333.373,322.100,322.264,336.916,343.982,364.756,356.160,372.923,378.437,374.921,371.575,381.011,341.129,327.322,354.072,348.115,360.911,372.653,380.356,406.171,423.813,416.027,406.534,401.438,374.703
Amapá,21.780,14.494,21.722,18.904,18.143,19.502,19.440,19.717,20.994,22.521,22.269,22.649,22.649,22.649,22.649,22.649,20.893,20.621,21.306,20.811,23.728,22.847,22.737,22.524,21.692,21.277,21.402,21.399,20.941,21.730,23.397,23.050,24.749,25.486,25.131,25.536,25.435,21.474,21.871,21.485,22.452,23.936,23.688,23.401,25.254,26.645,23.866,24.472,25.698,22.173,22.386,23.510,22.335,24.081,24.663,26.535,27.353,28.839,30.559,28.787,29.689,25.298,25.598,26.208,26.524,27.347,27.196,29.024,30.634,32.174,32.525,32.219,32.928,29.267,29.980,30.241,31.327,33.845,31.651,32.795,36.550,35.909,35.681,36.365,33.716,34.075,31.973,31.600,32.516,34.871,33.631,34.602,37.754,38.770,38.317,37.809,37.558,35.112,32.336,34.372,35.797,37.294,36.839,37.515,38.900,40.627,41.136,40.798,41.859,36.853,36.576,38.961,38.237,41.677,39.788,41.907,44.363,45.511,47.906,45.958,46.517,38.175,38.702,41.178,42.001,42.794,45.535,45.133,49.546,48.932,48.439,47.075,48.280,45.411,42.559,43.509,43.672,43.602,46.901,48.083,48.690,48.857,52.782,53.089,50.209,47.155,49.055,49.035,47.639,50.540,51.624,52.613,55.573,56.115,57.707,54.078,47.122,42.909,44.282,44.547,46.162,48.129,47.080,52.519,50.956,53.808,53.175,48.442,47.516,42.599,42.519,41.155,42.981,42.603,45.011,46.519,50.303,53.600,47.478,42.683,39.403,41.039,38.512,39.444,42.193,41.523,46.655,45.274,49.812,47.817,48.054,44.772,43.537,43.032,42.033,42.227,42.146,42.294,42.169,42.669,42.044,44.711,45.102,46.004,47.515,51.877,47.793,50.701,47.697,50.316,49.290,54.380,55.372,54.679,55.683,48.344,41.310,35.022,39.337,37.823,44.179,45.814,44.860,48.998,53.531,57.711,37.201,52.117,43.880
Tocantins,25.505,23.986,24.728,26.980,26.858,28.212,25.616,26.560,29.929,29.366,27.573,27.293,26.878,26.710,26.105,28.586,27.723,28.583,28.288,28.534,32.568,31.536,30.528,28.310,27.760,28.507,27.379,28.399,28.796,29.724,28.652,30.513,32.787,32.448,31.446,30.325,30.226,29.945,28.905,31.847,31.456,32.944,30.282,32.630,35.204,35.012,34.674,32.040,32.494,31.546,29.330,31.178,33.541,33.450,31.717,34.042,38.468,40.153,38.195,33.118,35.449,33.943,31.931,36.920,34.709,36.550,36.739,38.303,41.152,40.465,39.088,38.348,38.524,39.457,40.248,42.781,45.318,45.203,41.532,43.171,47.465,49.185,44.349,42.994,43.102,37.259,41.673,42.362,45.751,45.696,45.731,47.583,52.930,51.560,43.442,46.630,44.722,40.249,44.794,47.906,52.944,48.127,49.588,51.357,53.916,59.509,54.224,52.262,51.781,48.878,51.847,54.315,58.031,57.962,58.117,60.388,64.052,70.080,59.808,60.160,55.200,50.991,55.783,57.287,64.359,63.290,64.899,66.004,67.866,73.948,67.729,68.102,63.445,57.840,61.202,65.224,63.404,69.617,63.244,69.297,79.204,81.457,74.223,73.839,64.810,66.788,79.805,73.006,83.067,78.022,71.191,76.462,86.205,81.061,80.732,72.518,72.199,63.887,74.346,70.612,84.329,82.763,70.359,77.854,88.664,94.047,83.143,75.184,72.335,72.164,74.581,76.473,84.608,83.484,77.191,83.287,87.503,90.521,86.304,75.563,84.960,77.498,78.133,82.256,91.884,87.259,87.354,86.779,99.569,97.207,88.556,88.880,85.820,83.108,85.054,90.014,93.080,90.835,90.384,87.170,103.754,111.452,98.097,103.166,88.112,85.111,86.135,94.320,93.141,97.650,91.348,92.122,104.469,102.784,96.273,93.515,85.127,82.085,92.062,91.959,99.176,96.931,97.737,100.807,111.389,118.421,104.513,98.474,90.843
Maranhão,88.613,81.144,84.537,87.326,87.117,86.473,84.032,87.593,91.370,89.663,89.721,88.175,94.732,88.301,88.043,90.786,90.216,93.280,88.765,98.595,95.742,96.948,101.457,100.305,98.480,91.555,92.460,100.321,94.297,98.014,95.267,99.822,105.320,109.385,110.348,107.368,110.683,101.374,98.241,112.231,113.403,109.694,110.901,117.058,116.079,118.174,124.615,120.766,119.870,110.965,109.950,111.220,113.127,116.904,119.758,130.951,134.763,135.889,141.308,121.378,140.087,125.280,117.675,122.058,115.460,126.138,125.247,154.258,159.431,158.278,155.713,141.441,152.509,147.766,149.153,160.009,155.650,158.906,153.337,164.382,167.890,170.812,176.378,159.773,164.216,153.322,150.123,162.588,164.642,170.015,169.725,175.095,181.580,183.790,181.426,184.738,180.904,167.944,180.228,176.905,191.156,194.036,181.449,188.626,193.325,200.697,200.347,201.926,203.234,201.304,203.004,194.028,203.137,209.818,213.208,216.786,228.870,233.548,234.073,222.485,232.690,215.731,214.148,212.147,223.300,226.838,233.173,239.474,244.579,253.439,253.543,235.904,242.538,234.652,226.778,222.998,234.079,237.707,234.777,243.396,254.578,262.848,262.870,259.417,243.069,259.943,243.817,246.943,262.755,262.336,252.304,256.322,276.171,270.984,277.462,272.491,248.893,241.009,233.830,248.702,252.771,260.894,258.316,269.359,287.176,301.677,297.139,286.075,264.548,247.329,251.611,257.660,258.474,266.036,261.626,271.727,278.278,288.503,293.360,265.919,265.154,256.350,258.375,259.549,271.635,266.282,270.973,276.293,286.870,291.643,296.133,305.200,281.113,266.899,269.797,283.183,282.196,296.056,300.986,300.215,313.751,329.655,324.120,321.667,302.887,288.999,286.654,296.034,289.497,297.523,309.336,316.221,336.710,340.387,334.098,338.420,306.723,282.843,324.937,306.772,340.510,325.351,330.872,367.273,374.619,372.213,378.045,379.815,342.593
Piauí,55.791,46.649,48.151,50.927,50.865,49.478,49.524,50.770,54.549,55.990,58.308,54.329,57.733,51.963,50.343,51.135,52.147,52.382,53.827,54.216,58.193,60.461,60.582,59.673,55.665,53.402,53.293,51.082,52.973,53.059,54.768,52.214,57.683,60.068,61.136,59.742,59.639,56.473,52.701,54.616,56.152,57.042,57.084,57.755,61.593,63.256,68.692,65.122,65.886,61.476,57.758,56.309,59.426,60.458,58.698,62.477,66.625,70.097,73.549,67.409,68.502,61.550,60.246,61.310,61.711,61.418,63.800,65.884,69.916,75.951,80.192,77.215,80.296,75.957,79.039,80.467,79.472,79.942,79.175,80.840,86.101,89.065,92.246,86.928,87.736,77.552,79.188,80.217,79.292,81.115,83.665,84.882,93.612,95.454,93.939,92.021,94.225,87.535,87.335,88.737,94.050,98.599,94.387,105.167,109.329,114.372,115.707,104.790,107.978,102.763,100.600,104.357,101.092,106.366,112.086,111.733,116.719,126.327,118.697,119.751,119.333,108.865,109.819,106.492,114.189,114.994,121.474,120.895,125.642,136.179,107.158,128.543,134.095,121.470,120.620,122.610,123.368,126.916,129.376,124.533,138.738,141.055,145.979,149.468,129.868,115.420,129.950,121.591,133.869,137.467,126.046,138.634,148.193,142.240,156.833,148.903,137.948,125.142,127.869,121.620,136.472,138.191,130.458,140.058,153.206,157.899,160.898,149.871,141.598,131.985,133.095,131.286,133.783,141.022,128.545,151.463,159.463,166.013,168.081,69.488,134.187,139.992,136.589,134.037,141.659,142.904,142.818,143.619,154.848,164.902,173.275,167.280,154.811,143.815,139.778,145.346,150.268,150.702,156.363,150.730,163.499,177.922,180.083,174.740,169.186,151.423,152.823,158.397,159.284,166.041,161.618,166.600,179.034,175.788,173.024,178.417,158.342,148.504,155.175,150.643,157.783,161.548,163.912,162.514,188.452,190.207,179.475,186.874,163.918
Ceará,165.168,148.544,163.813,177.212,156.118,161.970,148.023,164.164,174.620,173.293,174.671,177.341,185.505,177.314,183.339,184.221,182.373,175.903,174.387,180.092,175.056,182.402,187.459,189.462,192.387,183.095,182.648,186.024,185.716,179.895,179.664,185.252,187.517,194.125,198.462,199.895,197.216,190.821,181.524,199.299,192.733,191.569,182.160,190.104,189.152,196.891,200.388,204.897,204.921,207.112,197.321,193.096,202.750,193.459,199.755,206.897,201.794,215.170,211.520,222.693,237.183,201.285,209.105,206.369,214.969,204.585,205.320,223.657,216.282,226.519,227.918,234.572,247.584,231.317,249.535,254.359,242.986,247.838,247.188,230.520,248.776,247.907,250.995,250.205,267.469,233.507,237.896,242.224,246.104,242.522,255.015,255.684,264.164,259.712,264.064,263.564,282.415,266.520,268.364,284.272,275.145,281.236,274.122,279.418,275.886,286.928,286.890,295.875,315.011,316.319,297.842,314.120,312.425,307.936,291.730,299.989,321.554,326.166,332.537,314.984,341.566,338.849,332.997,322.472,340.319,318.812,340.403,326.297,340.060,351.073,335.895,332.072,347.041,349.421,313.860,318.782,329.431,332.296,307.490,319.589,318.174,327.122,331.946,338.209,355.974,328.238,337.696,349.095,351.687,347.865,336.399,331.569,341.475,343.424,344.825,360.832,335.024,322.632,326.945,331.816,346.356,342.770,335.692,334.574,348.998,343.161,356.409,350.585,361.745,342.051,339.847,354.070,356.016,371.555,343.902,359.831,366.924,358.873,391.950,388.095,379.519,384.185,372.698,349.962,384.454,380.301,387.479,354.331,359.115,388.971,417.492,427.810,423.936,362.278,378.959,418.980,409.728,400.730,383.812,394.519,405.769,432.659,425.890,446.786,448.491,421.787,408.862,442.110,422.956,421.355,420.742,422.710,431.347,434.201,437.734,469.593,432.961,394.965,430.425,406.288,405.922,393.188,394.508,406.226,418.614,430.112,443.074,449.782,445.769
