UF,jan. 2004,fev. 2004,mar. 2004,abr. 2004,mai. 2004,jun. 2004,jul. 2004,ago. 2004,set. 2004,out. 2004,nov. 2004,dez. 2004,jan. 2005,fev. 2005,mar. 2005,abr. 2005,mai. 2005,jun. 2005,jul. 2005,ago. 2005,set. 2005,out. 2005,nov. 2005,dez. 2005,jan. 2006,fev. 2006,mar. 2006,abr. 2006,mai. 2006,jun. 2006,jul. 2006,ago. 2006,set. 2006,out. 2006,nov. 2006,dez. 2006,jan. 2007,fev. 2007,mar. 2007,abr. 2007,mai. 2007,jun. 2007,jul. 2007,ago. 2007,set. 2007,out. 2007,nov. 2007,dez. 2007,jan. 2008,fev. 2008,mar. 2008,abr. 2008,mai. 2008,jun. 2008,jul. 2008,ago. 2008,set. 2008,out. 2008,nov. 2008,dez. 2008,jan. 2009,fev. 2009,mar. 2009,abr. 2009,mai. 2009,jun. 2009,jul. 2009,ago. 2009,set. 2009,out. 2009,nov. 2009,dez. 2009,jan. 2010,fev. 2010,mar. 2010,abr. 2010,mai. 2010,jun. 2010,jul. 2010,ago. 2010,set. 2010,out. 2010,nov. 2010,dez. 2010,jan. 2011,fev. 2011,mar. 2011,abr. 2011,mai. 2011,jun. 2011,jul. 2011,ago. 2011,set. 2011,out. 2011,nov. 2011,dez. 2011,jan. 2012,fev. 2012,mar. 2012,abr. 2012,mai. 2012,jun. 2012,jul. 2012,ago. 2012,set. 2012,out. 2012,nov. 2012,dez. 2012,jan. 2013,fev. 2013,mar. 2013,abr. 2013,mai. 2013,jun. 2013,jul. 2013,ago. 2013,set. 2013,out. 2013,nov. 2013,dez. 2013,jan. 2014,fev. 2014,mar. 2014,abr. 2014,mai. 2014,jun. 2014,jul. 2014,ago. 2014,set. 2014,out. 2014,nov. 2014,dez. 2014,jan. 2015,fev. 2015,mar. 2015,abr. 2015,mai. 2015,jun. 2015,jul. 2015,ago. 2015,set. 2015,out. 2015,nov. 2015,dez. 2015,jan. 2016,fev. 2016,mar. 2016,abr. 2016,mai. 2016,jun. 2016,jul. 2016,ago. 2016,set. 2016,out. 2016,nov. 2016,dez. 2016,jan. 2017,fev. 2017,mar. 2017,abr. 2017,mai. 2017,jun. 2017,jul. 2017,ago. 2017,set. 2017,out. 2017,nov. 2017,dez. 2017,jan. 2018,fev. 2018,mar. 2018,abr. 2018,mai. 2018,jun. 2018,jul. 2018,ago. 2018,set. 2018,out. 2018,nov. 2018,dez. 2018,jan. 2019,fev. 2019,mar. 2019,abr. 2019,mai. 2019,jun. 2019,jul. 2019,ago. 2019,set. 2019,out. 2019,nov. 2019,dez. 2019,jan. 2020,fev. 2020,mar. 2020,abr. 2020,mai. 2020,jun. 2020,jul. 2020,ago. 2020,set. 2020,out. 2020,nov. 2020,dez. 2020,jan. 2021,fev. 2021,mar. 2021,abr. 2021,mai. 2021,jun. 2021,jul. 2021,ago. 2021,set. 2021,out. 2021,nov. 2021,dez. 2021,jan. 2022,fev. 2022,mar. 2022,abr. 2022,mai. 2022,jun. 2022,jul. 2022,ago. 2022,set. 2022,out. 2022,nov. 2022,dez. 2022,jan. 2023
Rondônia,2.331,2.371,2.301,2.309,2.325,2.309,2.324,2.359,2.388,2.278,2.311,2.288,2.317,2.252,2.287,2.333,2.327,2.347,2.334,2.329,2.358,2.305,2.286,2.277,2.282,2.289,2.294,2.287,2.271,2.264,2.279,2.230,2.222,2.257,2.249,2.248,2.258,2.226,2.242,2.234,2.240,2.245,2.235,2.236,2.261,2.262,2.165,2.252,2.266,2.262,2.263,2.253,2.237,2.238,2.228,2.221,2.221,2.208,2.198,2.213,2.203,2.188,2.174,2.169,2.155,2.154,2.124,2.119,2.131,2.161,2.141,2.138,2.138,2.125,2.102,2.111,2.093,2.103,2.107,2.117,2.111,2.131,2.132,2.125,2.072,2.096,2.110,2.104,2.111,2.099,2.109,2.107,2.110,2.103,2.112,2.108,2.112,2.104,2.095,2.092,2.077,2.076,2.077,2.090,2.070,2.067,2.096,2.166,2.043,2.034,2.013,2.025,2.012,1.935,1.987,1.974,1.983,1.988,2.002,1.977,1.981,1.980,1.954,1.949,1.933,1.962,1.959,1.958,1.976,1.965,1.982,1.970,1.946,1.951,1.943,1.938,1.943,1.927,1.917,1.935,1.930,1.923,1.908,1.920,1.901,1.865,1.893,1.870,1.869,1.874,1.863,1.841,1.834,1.831,1.820,1.832,1.814,1.809,1.783,1.786,1.767,1.781,1.758,1.732,1.741,1.742,1.740,1.700,1.707,1.704,1.698,1.676,1.685,1.680,1.686,1.659,1.666,1.653,1.639,1.629,1.618,1.610,1.589,1.586,1.590,1.592,1.589,1.583,1.567,1.543,1.546,1.531,1.524,1.535,1.542,1.530,1.523,1.530,1.533,1.532,1.526,1.526,1.518,1.686,1.517,1.507,1.067,1.500,1.508,1.500,1.535,1.551,1.544,1.510,1.509,1.527,1.517,1.506,1.494,1.547,1.530,1.552,1.820,2.246,2.375,2.329,2.387,2.431,2.428
Acre,761,762,757,744,744,743,751,762,750,753,754,757,761,763,765,764,758,730,765,762,758,765,769,758,766,764,773,754,775,777,757,756,703,764,760,707,745,744,741,737,719,717,736,726,741,745,745,746,53,52,53,57,56,56,56,59,58,56,56,59,780,775,766,781,772,771,782,769,770,781,766,775,763,764,758,764,767,771,774,737,770,763,759,754,749,752,758,762,767,768,772,774,770,770,771,763,760,759,747,753,755,753,767,761,771,767,758,754,748,742,744,737,746,736,732,738,718,750,729,716,741,735,720,736,733,710,728,732,730,728,730,716,708,701,702,729,708,698,715,705,735,704,700,712,696,698,703,715,689,700,700,715,727,681,687,677,675,681,668,661,690,665,687,664,649,649,651,650,639,636,626,625,615,612,621,604,587,582,576,572,550,337,281,284,281,279,283,279,273,272,254,271,273,273,275,272,260,264,270,272,275,259,265,270,268,271,217,269,273,273,284,289,283,280,276,278,278,276,280,278,286,284,285,285,293,288,292,295,299
Amazonas,3.363,3.376,3.378,3.392,3.423,3.384,3.393,3.386,3.378,3.373,3.355,3.367,3.339,3.314,3.322,3.339,3.221,3.211,3.237,3.226,3.214,3.195,3.196,3.195,3.206,3.185,3.188,3.198,3.191,3.184,3.191,3.215,3.223,3.241,3.264,3.261,3.256,3.267,3.267,3.267,3.275,3.267,3.297,3.283,3.274,3.296,3.303,3.303,3.299,3.314,3.324,3.342,3.340,3.345,3.357,3.358,3.361,3.353,3.358,3.343,3.351,3.332,3.341,3.341,3.336,3.336,3.340,3.334,3.341,3.352,3.332,3.328,3.318,3.306,3.300,3.312,3.295,3.299,3.267,3.289,3.281,3.283,3.257,3.275,3.268,3.262,3.246,3.234,3.245,3.230,3.243,3.235,3.226,3.208,3.202,3.176,3.172,3.161,3.151,3.157,3.154,3.159,3.165,3.166,3.174,3.180,3.170,3.174,3.181,3.176,3.165,3.163,3.158,3.158,3.156,3.158,3.161,3.176,3.179,3.158,3.152,3.153,3.159,3.163,3.162,3.126,3.095,3.108,3.127,3.094,3.091,3.082,3.113,3.104,3.113,3.096,3.085,3.090,3.092,3.116,3.090,3.083,3.047,3.028,3.037,3.037,3.059,3.054,3.041,3.024,3.034,3.037,3.047,3.042,3.042,3.012,3.002,2.998,3.002,2.947,2.929,2.886,2.885,2.862,2.860,2.858,2.838,2.834,2.822,2.819,2.834,2.810,2.792,2.779,2.749,2.757,2.733,2.720,2.725,2.720,2.723,2.724,2.714,2.714,2.728,2.730,2.739,2.726,2.719,2.716,2.709,2.704,2.692,2.679,2.675,2.654,2.669,2.670,2.667,2.665,2.664,2.664,2.657,2.642,2.636,2.625,2.622,2.359,2.346,2.348,2.334,2.337,2.312,2.311,2.308,2.300,2.292,2.285,2.290,2.270,2.259,2.246,2.238,2.257,2.255,2.256,2.256,2.254,2.246
Roraima,2.051,2.077,2.043,2.047,2.068,2.035,434,426,2.056,2.066,432,433,441,441,444,447,441,434,436,441,438,440,440,434,437,442,448,440,447,445,446,438,426,436,436,428,429,427,432,434,427,423,425,412,412,416,412,411,417,412,415,413,415,413,410,411,413,412,410,408,414,404,401,407,403,405,406,402,399,397,397,401,417,415,411,419,419,422,421,420,419,419,421,423,424,425,425,429,436,435,443,440,444,449,446,446,451,453,458,459,459,457,455,461,482,483,486,490,492,489,489,489,485,483,480,483,482,477,468,473,468,462,460,465,471,471,464,465,469,463,465,464,468,458,461,469,474,466,470,470,479,497,488,483,493,474,483,476,478,482,484,485,479,476,471,467,466,465,466,462,465,464,468,471,469,466,471,470,464,463,462,457,456,457,452,446,440,440,427,420,417,419,422,415,419,418,420,418,416,415,404,407,402,402,398,392,390,392,393,379,386,383,385,388,393,397,397,399,399,408,405,402,396,401,403,400,401,403,410,407,409,410,407,399,408,409,416,411,410
Pará,3.766,3.979,3.744,3.974,3.727,3.754,3.762,4.024,3.823,3.858,3.869,3.888,3.893,3.886,3.872,3.848,3.846,3.822,3.822,3.878,3.887,3.880,3.902,3.896,3.898,3.847,3.877,3.822,3.846,3.841,3.865,3.893,3.930,3.958,3.978,3.986,4.003,3.986,3.974,3.947,3.910,3.939,3.967,4.012,4.015,4.051,4.091,4.053,4.043,4.043,4.034,3.997,4.024,3.949,3.902,3.934,3.942,3.944,3.926,3.918,3.884,3.878,3.848,3.823,3.821,3.822,3.840,3.840,3.812,3.840,3.839,3.793,3.833,3.796,3.775,3.781,3.743,3.784,3.777,3.778,3.816,3.801,3.832,3.821,3.797,3.812,3.818,3.761,3.753,3.776,3.773,3.745,3.729,3.716,3.761,3.690,3.773,3.730,3.712,3.637,3.651,3.651,3.689,3.832,3.803,3.834,3.823,3.752,3.817,3.830,3.828,3.857,3.870,3.877,3.895,3.904,3.945,3.961,3.991,4.049,4.005,4.024,4.016,4.044,4.034,4.027,4.056,4.054,4.062,4.050,4.056,4.046,4.074,4.066,4.061,4.049,4.057,4.021,3.988,3.990,4.041,4.035,4.030,4.021,4.015,4.000,3.688,3.596,4.110,4.440,4.405,4.154,4.147,4.298,4.122,4.277,4.107,4.093,4.110,4.067,4.360,4.072,4.021,4.049,4.035,4.120,4.081,3.997,3.833,4.059,4.082,3.975,3.958,3.938,4.038,4.044,4.006,4.009,4.056,4.081,4.032,4.031,4.015,3.967,4.021,4.073,4.092,4.067,4.072,4.064,4.136,4.030,4.051,3.987,4.018,3.978,3.968,3.952,3.994,4.029,4.044,4.017,4.120,3.956,4.063,4.037,4.112,4.102,4.125,4.067,4.179,4.154,4.133,4.269,4.250,4.239,4.392,4.248,4.224,4.195,4.279,4.194,4.191,4.253,4.192,4.200,4.197,4.183,4.187
Amapá,579,379,630,538,527,547,523,550,552,557,546,559,559,559,559,559,563,563,539,551,500,561,478,528,562,520,599,551,553,563,556,549,509,548,549,550,551,555,556,555,554,554,552,556,558,550,551,552,554,546,547,471,538,539,546,537,537,535,538,532,525,533,536,534,532,538,529,487,526,523,504,515,516,515,492,518,512,507,507,507,510,511,513,512,513,506,511,504,501,507,498,497,500,496,494,455,436,488,432,487,487,483,478,420,475,475,474,472,472,467,464,465,463,462,460,459,459,458,455,455,455,452,453,455,449,445,444,444,445,441,441,441,438,438,418,432,434,457,431,430,437,433,408,424,421,424,438,463,422,405,409,405,404,407,405,407,406,404,411,406,412,405,404,404,401,403,405,404,402,401,399,396,391,390,380,383,382,379,377,370,364,365,362,356,353,351,349,350,349,351,347,348,347,346,345,345,345,345,341,345,344,336,343,346,346,354,346,346,348,349,349,351,351,351,355,330,276,256,257,252,263,261,259,264,238,255,251,249,251
Tocantins,2.416,2.411,2.420,2.422,2.425,2.416,2.445,2.428,2.391,2.379,2.352,2.321,2.307,2.310,2.315,2.308,2.297,2.296,2.345,2.361,2.364,2.336,2.325,2.309,2.274,2.267,2.270,2.266,2.282,2.273,2.274,2.276,2.283,2.298,2.302,2.299,2.304,2.270,2.286,2.289,2.299,2.300,2.317,2.313,2.330,2.332,2.316,2.312,2.300,2.282,2.291,2.304,2.312,2.334,2.352,2.323,2.323,2.341,2.351,2.330,2.304,2.279,2.270,2.259,2.247,2.270,2.271,2.279,2.255,2.279,2.263,2.254,2.249,2.238,2.240,2.236,2.280,2.304,2.311,2.326,2.321,2.314,2.316,2.302,2.296,2.287,2.266,2.270,2.276,2.276,2.282,2.278,2.238,2.259,2.252,2.226,2.207,2.200,2.189,2.180,2.183,2.181,2.174,2.165,2.160,2.156,2.153,2.159,2.159,2.159,2.150,2.142,2.146,2.149,2.156,2.173,2.165,2.152,2.160,2.158,2.149,2.149,2.141,2.144,2.141,2.137,2.146,2.136,2.149,2.142,2.124,2.124,2.124,2.115,2.118,2.118,2.119,2.109,2.100,2.104,2.100,2.097,2.096,2.085,2.085,2.073,2.065,2.064,1.940,1.939,1.942,1.932,1.921,1.910,1.894,1.897,1.866,1.861,1.851,1.841,1.810,1.816,1.799,1.789,1.786,1.785,1.772,1.763,1.745,1.741,1.729,1.711,1.697,1.689,1.684,1.664,1.659,1.650,1.647,1.643,1.627,1.631,1.576,1.609,1.617,1.606,1.593,1.578,1.554,1.550,1.516,1.532,1.541,1.526,1.518,1.521,1.525,1.526,1.525,1.540,1.534,1.529,1.528,1.529,1.522,1.512,1.363,1.519,1.504,1.509,1.509,1.511,1.503,1.472,1.495,1.501,1.497,1.482,1.477,1.480,1.479,1.475,1.471,1.466,1.462,1.463,1.461,1.446,1.451
Maranhão,8.881,8.811,8.706,8.661,8.654,8.693,8.821,8.866,8.875,8.887,8.889,8.870,8.991,8.985,8.937,8.912,8.902,9.044,9.189,9.057,9.051,9.102,9.211,9.266,9.336,9.346,9.384,9.425,9.404,9.686,9.479,9.410,9.463,9.482,9.512,9.570,9.511,9.498,9.476,9.494,9.423,9.479,9.385,9.303,9.319,9.332,9.374,9.370,9.338,9.302,9.277,9.186,9.007,9.125,9.200,9.185,9.306,9.333,9.377,9.405,9.462,9.403,9.486,9.593,9.421,9.555,9.540,9.624,9.641,9.675,9.709,9.570,9.667,9.743,9.738,9.753,9.803,9.750,9.794,9.857,9.848,9.903,9.923,9.882,9.853,9.740,9.699,9.620,9.650,9.626,9.719,9.713,9.721,9.701,9.651,9.587,9.546,9.503,9.474,9.473,9.396,9.229,9.277,9.261,9.216,9.250,9.139,9.199,9.176,9.154,9.157,9.123,9.011,9.006,8.974,8.993,9.003,8.958,8.879,8.985,9.023,9.023,8.964,8.937,8.869,8.865,8.791,8.892,8.823,8.689,8.767,8.688,8.783,8.791,8.540,8.619,8.533,8.527,8.490,8.534,8.584,8.460,8.039,8.511,8.535,8.404,8.489,8.497,8.635,8.560,8.534,8.512,8.453,8.478,8.385,8.408,8.340,8.295,8.308,8.261,8.297,8.255,8.215,8.240,8.208,8.196,8.200,8.121,8.114,8.053,8.046,8.023,7.959,7.952,7.936,7.923,7.805,7.827,7.720,7.732,7.716,7.681,7.782,7.620,7.643,7.537,7.602,7.605,7.613,7.555,7.542,7.545,7.509,7.461,7.473,7.422,7.421,7.370,7.354,7.329,7.311,7.247,7.181,7.169,6.943,6.943,6.886,6.872,6.861,6.832,6.809,6.769,6.710,6.643,6.585,6.473,6.427,6.281,3.281,2.812,2.726,2.684,2.611,2.616,2.620,2.626,2.633,2.624,2.651
Piauí,3.935,3.941,3.924,3.927,3.917,3.936,3.940,3.961,3.991,3.974,3.989,3.976,3.972,3.941,3.920,3.909,3.907,3.900,3.933,3.947,3.965,3.975,3.965,3.959,3.953,3.936,3.928,3.953,3.934,4.054,3.989,4.216,4.213,4.169,4.201,4.152,197,195,193,196,187,193,192,202,204,203,206,4.074,4.060,3.929,4.033,3.989,4.016,3.984,3.994,4.173,4.001,4.019,3.955,4.042,3.778,3.960,3.956,3.885,4.021,3.950,3.993,4.006,3.907,4.032,4.004,3.945,4.005,4.014,3.912,3.922,4.015,3.939,3.999,3.964,3.848,3.970,3.966,3.810,3.845,3.915,3.825,3.870,3.900,3.873,3.793,3.806,3.882,3.893,3.776,3.765,3.730,3.846,3.796,3.725,3.780,3.781,3.795,3.780,3.774,3.748,3.800,3.786,3.650,3.673,3.661,3.700,3.618,3.627,3.636,3.644,3.601,3.454,3.618,3.600,3.593,3.592,3.604,3.589,3.535,3.571,3.605,3.563,3.592,3.590,3.494,3.526,3.595,3.547,3.522,3.516,3.544,3.508,3.522,3.526,3.363,3.497,3.417,3.354,3.399,3.368,3.348,3.334,3.333,3.325,3.336,3.431,3.430,3.432,3.435,3.415,3.387,3.372,3.366,3.303,3.312,3.315,3.316,3.290,3.291,3.293,3.241,3.131,3.250,3.231,3.168,3.143,3.127,3.149,3.140,3.073,3.083,3.019,2.948,2.890,3.019,3.014,2.999,2.967,2.990,2.960,2.967,2.959,2.938,2.927,2.911,2.882,2.857,2.809,2.774,2.734,2.666,2.652,2.530,2.559,2.540,2.512,2.459,2.455,2.467,2.454,2.464,2.462,2.441,2.436,2.445,2.441,2.394,2.343,2.418,2.415,2.414,2.384,2.346,2.347,2.332,2.311,2.319,2.307,2.495,2.355,2.373,2.337,2.402
Ceará,7.060,7.024,6.953,6.899,6.931,6.961,6.991,7.030,6.976,6.921,6.866,6.832,6.814,6.802,6.768,6.736,6.718,6.698,6.667,6.650,6.634,6.602,6.602,6.573,6.572,6.580,6.529,6.525,6.490,6.438,6.421,6.450,6.441,6.470,6.456,6.466,6.464,6.433,6.420,6.417,6.389,6.367,6.382,6.222,6.048,6.054,6.032,6.016,6.044,6.017,5.998,5.977,5.967,5.953,5.964,5.976,5.977,5.974,5.968,5.956,5.930,5.926,5.916,5.887,5.837,5.841,5.849,5.852,5.860,5.879,5.882,5.875,5.872,5.871,5.860,5.860,5.837,5.836,5.836,5.833,5.829,5.831,5.811,5.829,5.831,5.811,5.830,5.831,5.839,5.837,5.848,5.860,5.883,5.880,5.888,5.894,5.896,5.893,5.897,5.891,5.883,5.873,5.874,5.886,5.881,5.884,5.920,5.914,5.942,5.914,5.930,5.939,5.957,5.974,6.014,6.030,6.045,6.065,6.062,6.075,6.047,6.029,6.056,6.066,6.063,6.064,6.044,6.010,6.046,6.088,6.118,6.104,6.115,6.114,6.108,6.108,6.086,6.069,6.038,6.000,5.993,6.010,5.964,5.948,5.936,5.911,5.895,5.885,5.943,5.986,6.003,6.019,6.012,5.994,5.966,5.949,5.938,5.937,5.918,5.897,5.871,5.857,5.958,5.940,5.967,5.988,6.068,5.971,5.795,5.767,5.750,5.751,5.714,5.678,5.497,5.424,5.370,5.307,5.279,5.254,5.769,5.827,5.749,5.870,5.766,5.654,5.358,5.906,5.483,5.839,5.393,5.814,5.335,5.671,5.793,5.810,5.445,5.507,5.563,6.070,5.820,5.708,5.894,5.645,5.444,5.842,7.808,5.709,6.026,5.893,5.666,5.658,5.458,5.434,5.518,5.424,6.181,6.148,6.078,6.098,6.084,6.073,6.054,6.072,6.063,6.103,6.063,6.035,6.022
