;Timestamp;Estado;Consumo Residencial;Consumo Industrial;Populacao;PIB;IDEB
0;abr. 2006;Rondônia;45.120;17.835;1562417;13054713344;3.9
1;mai. 2006;Rondônia;43.171;17.769;1562417;13054713344;3.9
2;jun. 2006;Rondônia;44.069;17.940;1562417;13054713344;3.9
3;jul. 2006;Rondônia;48.872;20.237;1562417;13054713344;3.9
4;ago. 2006;Rondônia;49.050;19.602;1562417;13054713344;3.9
5;set. 2006;Rondônia;51.273;21.271;1562417;13054713344;3.9
6;out. 2006;Rondônia;50.844;21.125;1562417;13054713344;3.9
7;nov. 2006;Rondônia;49.650;19.528;1562417;13054713344;3.9
8;dez. 2006;Rondônia;48.200;21.662;1562417;13054713344;3.9
9;jan. 2007;Rondônia;47.135;19.850;1453756;14438376499;3.9
10;fev. 2007;Rondônia;47.127;19.487;1453756;14438376499;3.9
11;mar. 2007;Rondônia;44.459;20.106;1453756;14438376499;3.9
12;abr. 2007;Rondônia;46.673;20.276;1453756;14438376499;3.9
13;mai. 2007;Rondônia;47.897;20.833;1453756;14438376499;3.9
14;jun. 2007;Rondônia;45.868;21.530;1453756;14438376499;3.9
15;jul. 2007;Rondônia;47.403;23.785;1453756;14438376499;3.9
16;ago. 2007;Rondônia;47.988;22.865;1453756;14438376499;3.9
17;set. 2007;Rondônia;52.780;25.041;1453756;14438376499;3.9
18;out. 2007;Rondônia;50.861;24.569;1453756;14438376499;3.9
19;nov. 2007;Rondônia;51.818;25.433;1453756;14438376499;3.9
20;dez. 2007;Rondônia;49.226;27.282;1453756;14438376499;3.9
21;jan. 2008;Rondônia;49.733;24.922;1493566;17285541726;4.1
22;fev. 2008;Rondônia;47.328;23.283;1493566;17285541726;4.1
23;mar. 2008;Rondônia;47.252;25.173;1493566;17285541726;4.1
24;abr. 2008;Rondônia;49.407;23.632;1493566;17285541726;4.1
25;mai. 2008;Rondônia;46.968;26.546;1493566;17285541726;4.1
26;jun. 2008;Rondônia;48.550;25.224;1493566;17285541726;4.1
27;jul. 2008;Rondônia;49.574;24.711;1493566;17285541726;4.1
28;ago. 2008;Rondônia;53.607;26.731;1493566;17285541726;4.1
29;set. 2008;Rondônia;58.773;25.368;1493566;17285541726;4.1
30;out. 2008;Rondônia;56.288;24.788;1493566;17285541726;4.1
31;nov. 2008;Rondônia;57.809;24.854;1493566;17285541726;4.1
32;dez. 2008;Rondônia;54.478;25.568;1493566;17285541726;4.1
33;jan. 2009;Rondônia;54.926;23.569;1503928;19725009504;4.3
34;fev. 2009;Rondônia;54.457;20.486;1503928;19725009504;4.3
35;mar. 2009;Rondônia;51.735;24.332;1503928;19725009504;4.3
36;abr. 2009;Rondônia;54.164;23.984;1503928;19725009504;4.3
37;mai. 2009;Rondônia;56.463;25.586;1503928;19725009504;4.3
38;jun. 2009;Rondônia;53.150;25.445;1503928;19725009504;4.3
39;jul. 2009;Rondônia;56.443;27.126;1503928;19725009504;4.3
40;ago. 2009;Rondônia;57.825;28.625;1503928;19725009504;4.3
41;set. 2009;Rondônia;62.417;29.261;1503928;19725009504;4.3
42;out. 2009;Rondônia;59.617;31.313;1503928;19725009504;4.3
43;nov. 2009;Rondônia;63.176;31.358;1503928;19725009504;4.3
44;dez. 2009;Rondônia;60.633;29.622;1503928;19725009504;4.3
45;jan. 2010;Rondônia;59.914;29.588;1562409;23907886882;4.45
46;fev. 2010;Rondônia;57.565;27.308;1562409;23907886882;4.45
47;mar. 2010;Rondônia;62.418;29.904;1562409;23907886882;4.45
48;abr. 2010;Rondônia;65.976;31.815;1562409;23907886882;4.45
